stockcode,stockname, SERIES, DATE OF LISTING, ISIN NUMBER, , ,,,,,,,
HATSUN,Hatsun Agro Product Limited,EQ,20-Jun-14,INE473B01035,,#N/A,Igarashi Motors,Electric Equipment,338.95,0.65,0.19,"1,067",Engineering 
HAVELLS,Havells India Limited,EQ,21-Mar-01,INE176B01034,,#N/A,GMM Pfaudler,Engineering - Heavy,3754.7,7.1,0.19,"5,488",Engineering 
HAVISHA,Sri Havisha Hospitality and Infrastructure Limited,BE,16-Feb-00,INE293B01029,,#N/A,Texmaco Rail,Infrastructure - General,27.85,0.05,0.18,626,Engineering 
HBLPOWER,HBL Power Systems Limited,EQ,4-Jan-07,INE292B01021,,#N/A,A2Z Infra Eng,Power - Transmission & Equipment,4.75,0,0,84,Engineering 
HBSL,HB Stockholdings Limited,EQ,23-Jul-18,INE550B01022,,#N/A,Gujarat Apollo,Engineering - Heavy,199,0,0,252,Engineering 
HCC,Hindustan Construction Company Limited,EQ,1-Apr-03,INE549A01026,,Thermax Limited,Thermax,Infrastructure - General,912,0,0,"10,867",Engineering 
HCG,Healthcare Global Enterprises Limited,EQ,30-Mar-16,INE075I01017,,#N/A,De Nora India,Electric Equipment,213,-0.15,-0.07,113,Engineering 
HCL-INSYS,HCL Infosystems Limited,EQ,1-Jan-97,INE236A01020,,#N/A,Carborundum,Abrasives,376.15,-0.35,-0.09,"7,127",Engineering 
HCLTECH,HCL Technologies Limited,EQ,6-Jan-00,INE860A01027,,#N/A,Kirloskar Oil,Engines,121.5,-0.15,-0.12,"1,757",Engineering 
HDFC,Housing Development Finance Corporation Limited,EQ,23-Oct-96,INE001A01036,,#N/A,Kennametal,Machine Tools,878.05,-1.2,-0.14,"1,930",Engineering 
HDFCAMC,HDFC Asset Management Company Limited,EQ,6-Aug-18,INE127D01025,,#N/A,Power Mech,Infrastructure - General,420.65,-0.75,-0.18,619,Engineering 
HDFCBANK,HDFC Bank Limited,EQ,8-Nov-95,INE040A01034,,#N/A,Praj Industries,Engineering - Heavy,112.7,-0.25,-0.22,"2,064",Engineering 
HDFCLIFE,HDFC Life Insurance Company Limited,EQ,17-Nov-17,INE795G01014,,#N/A,Adani Ports,Infrastructure - General,465.25,-1.05,-0.23,"94,527",Engineering 
HDIL,Housing Development and Infrastructure Limited,BZ,24-Jul-07,INE191I01012,,#N/A,Havells India,Electric Equipment,825.45,-2,-0.24,"51,674",Engineering 
HEG,HEG Limited,EQ,10-May-95,INE545A01016,,#N/A,Walchandnagar,Engineering - Heavy,64,-0.2,-0.31,244,Engineering 
HEIDELBERG,HeidelbergCement India Limited,EQ,15-Mar-95,INE578A01017,,#N/A,United Drilling,,263.25,-0.85,-0.32,534,Engineering 
HEMIPROP,Hemisphere Properties India Limited,EQ,22-Oct-20,INE0AJG01018,,Siemens Limited,Siemens,Infrastructure - General,1530.4,-5.35,-0.35,"54,501",Engineering 
HERCULES,Hercules Hoists Limited,EQ,19-Feb-08,INE688E01024,,#N/A,GMR Infra,Infrastructure - General,26.5,-0.1,-0.38,"15,995",Engineering 
HERITGFOOD,Heritage Foods Limited,EQ,27-Nov-96,INE978A01027,,#N/A,SKF India,Bearings,1659.2,-6.35,-0.38,"8,203",Engineering 
HEROMOTOCO,Hero MotoCorp Limited,EQ,11-Apr-03,INE158A01026,,#N/A,Revathi CP,Compressors,444,-1.75,-0.39,136,Engineering 
HESTERBIO,Hester Biosciences Limited,EQ,13-Mar-15,INE782E01017,,Wendt (India) Limited,Wendt,Abrasives,3361.15,-14.95,-0.44,672,Engineering 
HEXATRADEX,Hexa Tradex Limited,EQ,20-Apr-12,INE750M01017,,Polycab India Limited,Polycab,Cables - Power & Others,1034.4,-4.65,-0.45,"15,420",Engineering 
HFCL,HFCL Limited,EQ,9-Mar-11,INE548A01028,,#N/A,Grindwell Norto,Abrasives,667.1,-3.1,-0.46,"7,386",Engineering 
HGINFRA,H.G. Infra Engineering Limited,EQ,9-Mar-18,INE926X01010,,#N/A,TD Power System,Engineering - Heavy,129,-0.6,-0.46,399,Engineering 
HGS,Hinduja Global Solutions Limited,EQ,19-Jun-07,INE170I01016,,#N/A,Swelect Energy,Electric Equipment,156.6,-0.75,-0.48,237,Engineering 
HIKAL,Hikal Limited,EQ,14-Feb-01,INE475B01022,,#N/A,Triveni Turbine,Electric Equipment,84.5,-0.5,-0.59,"2,732",Engineering 
HIL,HIL Limited,EQ,26-Apr-95,INE557A01011,,#N/A,Ircon Internati,Engineering - Heavy,90.3,-0.55,-0.61,"4,246",Engineering 
HILTON,Hilton Metal Forging Limited,EQ,24-May-07,INE788H01017,,#N/A,GE T&D India,Power - Transmission & Equipment,114.5,-0.75,-0.65,"2,932",Engineering 
HIMATSEIDE,Himatsingka Seide Limited,EQ,8-Feb-95,INE049A01027,,#N/A,CG Power,Electric Equipment,44.3,-0.3,-0.67,"5,623",Engineering 
HINDALCO,Hindalco Industries Limited,EQ,8-Jan-97,INE038A01020,,#N/A,KEI Industries,Cables - Power & Others,418,-2.85,-0.68,"3,756",Engineering 
HINDCOMPOS,Hindustan Composites Limited,EQ,8-May-96,INE310C01029,,#N/A,Shakti Pumps,Pumps,282,-2.2,-0.77,518,Engineering 
HINDCOPPER,Hindustan Copper Limited,EQ,15-Sep-10,INE531E01026,,#N/A,Schaeffler Ind,Bearings,4310,-33.85,-0.78,"13,473",Engineering 
HINDMOTORS,Hindustan Motors Limited,EQ,21-Feb-11,INE253A01025,,#N/A,Lokesh Machines,Machine Tools,31.2,-0.25,-0.79,56,Engineering 
HINDNATGLS,Hindusthan National Glass & Industries Limited,EQ,15-Apr-09,INE952A01022,,#N/A,Hercules Hoists,Engineering,119.3,-1,-0.83,382,Engineering 
HINDOILEXP,Hindustan Oil Exploration Company Limited,EQ,23-Sep-03,INE345A01011,,#N/A,Kalpataru Power,Power - Transmission & Equipment,321.5,-2.75,-0.85,"4,787",Engineering 
HINDPETRO,Hindustan Petroleum Corporation Limited,EQ,17-Jun-98,INE094A01015,,#N/A,Ingersoll Rand,Compressors,632.05,-5.55,-0.87,"1,995",Engineering 
HINDUNILVR,Hindustan Unilever Limited,EQ,6-Jul-95,INE030A01027,,#N/A,Mcnally Bh Engg,Engineering,5.65,-0.05,-0.88,120,Engineering 
HINDZINC,Hindustan Zinc Limited,EQ,21-Nov-06,INE267A01025,,#N/A,Commercial Eng,Engineering,16.55,-0.15,-0.9,148,Engineering 
HIRECT,Hind Rectifiers Limited,EQ,26-Dec-06,INE835D01023,,#N/A,Rel Ind Infra,Infrastructure - General,400.95,-4,-0.99,605,Engineering 
HISARMETAL,Hisar Metal Industries Limited,EQ,5-Jan-17,INE598C01011,,#N/A,IMP Powers,Electric Equipment,19.85,-0.2,-1,17,Engineering 
HITECH,Hi-Tech Pipes Limited,EQ,7-May-18,INE106T01017,,#N/A,Quess Corp,Engineering,490,-4.95,-1,"7,234",Engineering 
HITECHCORP,Hitech Corporation Limited,EQ,20-Dec-07,INE120D01012,,#N/A,IRB Infra,Infrastructure - General,113.3,-1.25,-1.09,"3,982",Engineering 
HITECHGEAR,The Hi-Tech Gears Limited,BE,21-Jan-02,INE127B01011,,Timken India Limited,Timken,Bearings,1114.4,-12.4,-1.1,"8,382",Engineering 
HLVLTD,HLV LIMITED,EQ,19-Jul-95,INE102A01024,,#N/A,BGR Energy,Infrastructure - General,49.25,-0.55,-1.1,355,Engineering 
HMT,HMT Limited,BZ,29-Aug-03,INE262A01018,,#N/A,Bharat Road Net,Infrastructure - General,35.15,-0.45,-1.26,295,Engineering 
HMVL,Hindustan Media Ventures Limited,EQ,21-Jul-10,INE871K01015,,#N/A,Pitti Engineeri,Engineering,48.25,-0.65,-1.33,155,Engineering 
HNDFDS,Hindustan Foods Limited,EQ,19-Aug-19,INE254N01018,,#N/A,Universal Cable,Cables - Power & Others,148.2,-2,-1.33,514,Engineering 
HONAUT,Honeywell Automation India Limited,EQ,18-Jul-03,INE671A01010,,#N/A,Sadbhav Infra,Infrastructure - General,21.2,-0.3,-1.4,747,Engineering 
HONDAPOWER,Honda India Power Products Limited,EQ,1-Apr-03,INE634A01018,,#N/A,OM Metals Infra,Engineering,20.35,-0.3,-1.45,196,Engineering 
HOTELRUGBY,Hotel Rugby Limited,EQ,3-Apr-96,INE275F01019,,#N/A,Indo Tech Trans,Power - Transmission & Equipment,110.5,-1.8,-1.6,117,Engineering 
HOVS,HOV Services Limited,EQ,27-Sep-06,INE596H01014,,#N/A,HBL Power,Electric Equipment,27.1,-0.45,-1.63,751,Engineering 
HPL,HPL Electric & Power Limited,EQ,4-Oct-16,INE495S01016,,#N/A,Action Const,Engineering - Heavy,119.7,-2,-1.64,"1,358",Engineering 
HSCL,Himadri Speciality Chemical Limited,EQ,2-Mar-07,INE019C01026,,#N/A,Kirloskar Ind,Engines,790.5,-13.85,-1.72,767,Engineering 
HSIL,HSIL Limited,EQ,31-May-00,INE415A01038,,#N/A,Voltamp Trans,Power - Transmission & Equipment,1224.9,-25.7,-2.06,"1,239",Engineering 
HTMEDIA,HT Media Limited,EQ,1-Sep-05,INE501G01024,,#N/A,AIA Engineering,Castings & Forgings,1937,-41.3,-2.09,"18,270",Engineering 
HUBTOWN,Hubtown Limited,EQ,7-Feb-07,INE703H01016,,Macpower CNC Machines Limited,Macpower,Machine Tools,95.1,-2.2,-2.26,95,Engineering 
HUDCO,Housing & Urban Development Corporation Limited,EQ,19-May-17,INE031A01017,,#N/A,Easun Reyrl,Electric Equipment,2.1,-0.05,-2.33,6,Engineering 
HUHTAMAKI,Huhtamaki India Limited,EQ,1-Oct-04,INE275B01026,,#N/A,Elecon Eng,Engineering - Heavy,38.1,-0.95,-2.43,427,Engineering 
IBREALEST,Indiabulls Real Estate Limited,EQ,23-Mar-07,INE069I01010,,#N/A,Windsor,Engineering - Heavy,19,-0.5,-2.56,123,Engineering 
IBULHSGFIN,Indiabulls Housing Finance Limited,EQ,23-Jul-13,INE148I01020,,TRF Limited,TRF,Engineering - Heavy,109,-3.5,-3.11,120,Engineering 
ICEMAKE,Ice Make Refrigeration Limited,EQ,12-Oct-20,INE520Y01019,,TIL Limited,TIL,Engineering,177,-6.45,-3.52,178,Engineering 
ICICIBANK,ICICI Bank Limited,EQ,17-Sep-97,INE090A01021,,#N/A,Technofab Engg,Engineering,9.55,-0.4,-4.02,10,Engineering 
ICICIGI,ICICI Lombard General Insurance Company Limited,EQ,27-Sep-17,INE765G01017,,#N/A,Supreme Enginee,Engineering,23.75,-1.1,-4.43,59,Engineering 
ICICIPRULI,ICICI Prudential Life Insurance Company Limited,EQ,29-Sep-16,INE726G01019,,#N/A,ANI Integrated,Engineering,20.15,-1,-4.73,20,Engineering 
ICIL,Indo Count Industries Limited,EQ,12-Sep-05,INE483B01026,,#N/A,Bharat Wire Rop,Steel - Medium & Small,30.15,-1.5,-4.74,136,Engineering 
ICRA,ICRA Limited,EQ,13-Apr-07,INE725G01011,,#N/A,B C Power Contr,Cables - Power & Others,7.7,-0.45,-5.52,45,Engineering 
IDBI,IDBI Bank Limited,EQ,20-Sep-95,INE008A01015,,#N/A,SKM Egg Product,Food Processing,60,8.4,16.28,158,Food  and Bevrage
IDEA,Vodafone Idea Limited,EQ,9-Mar-07,INE669E01016,,#N/A,Umang Dairies,Food Processing,58.05,5.4,10.26,128,Food  and Bevrage
IDFC,IDFC Limited,EQ,12-Aug-05,INE043D01016,,#N/A,Tilaknagar Ind,Breweries & Distilleries,24.3,1.25,5.42,304,Food  and Bevrage
IDFCFIRSTB,IDFC First Bank Limited,EQ,6-Nov-15,INE092T01019,,#N/A,Sakthi Sugars,Sugar,10.8,0.55,5.37,128,Food  and Bevrage
IEX,Indian Energy Exchange Limited,EQ,23-Oct-17,INE022Q01020,,#N/A,Gillanders Arbu,Diversified,42.1,2,4.99,90,Food  and Bevrage
IFBAGRO,IFB Agro Industries Limited,EQ,3-Apr-96,INE076C01018,,#N/A,Peria Karamalai,Plantations - Tea & Coffee,220.9,10.4,4.94,68,Food  and Bevrage
IFBIND,IFB Industries Limited,EQ,29-Mar-95,INE559A01017,,#N/A,Apex Frozen,Food Processing,323.35,14.15,4.58,"1,010",Food  and Bevrage
IFCI,IFCI Limited,EQ,26-Apr-95,INE039A01010,,#N/A,Kohinoor Foods,Food Processing,9.2,0.4,4.55,34,Food  and Bevrage
IFGLEXPOR,IFGL Refractories Limited,EQ,14-Nov-17,INE133Y01011,,#N/A,Prabhat Dairy,Food Processing,72.6,3.15,4.54,709,Food  and Bevrage
IGARASHI,Igarashi Motors India Limited,EQ,9-Oct-03,INE188B01013,,#N/A,Tasty Bite,Food Processing,11292,358.85,3.28,"2,898",Food  and Bevrage
IGL,Indraprastha Gas Limited,EQ,26-Dec-03,INE203G01027,,#N/A,Dharani Sugars,Sugar,6.3,0.2,3.28,21,Food  and Bevrage
IGPL,IG Petrochemicals Limited,EQ,29-Jan-07,INE204A01010,,#N/A,Vikas Proppant,Food Processing,3.4,0.1,3.03,175,Food  and Bevrage
IIFL,IIFL Finance Limited,EQ,17-May-05,INE530B01024,,#N/A,Mawana Sugars,Sugar,41.7,1.1,2.71,163,Food  and Bevrage
IIFLSEC,IIFL Securities Limited,EQ,20-Sep-19,INE489L01022,,#N/A,Dhunseri Ventur,Petrochemicals,68.95,1.45,2.15,241,Food  and Bevrage
IIFLWAM,Iifl Wealth Management Limited,EQ,19-Sep-19,INE466L01020,,#N/A,Ponni Sugars(E),Sugar,171.75,3.55,2.11,148,Food  and Bevrage
IITL,Industrial Investment Trust Limited,EQ,17-Aug-10,INE886A01014,,#N/A,Shree Renuka,Sugar,12.1,0.25,2.11,"2,575",Food  and Bevrage
IL&FSENGG,IL&FS Engineering and Construction Company Limited,BZ,25-Oct-07,INE369I01014,,IVP Limited,IVP,Vanaspati & Oils,67.9,1.4,2.11,70,Food  and Bevrage
IL&FSTRANS,IL&FS Transportation Networks Limited,BZ,30-Mar-10,INE975G01012,,#N/A,Dhampur Sugar,Sugar,170.6,3,1.79,"1,133",Food  and Bevrage
IMAGICAA,Imagicaaworld Entertainment Limited,EQ,6-Apr-15,INE172N01012,,#N/A,Balrampur Chini,Sugar,175.55,2.85,1.65,"3,687",Food  and Bevrage
IMFA,Indian Metals & Ferro Alloys Limited,EQ,23-Jul-10,INE919H01018,,#N/A,Globus Spirits,Breweries & Distilleries,334.15,5,1.52,962,Food  and Bevrage
IMPAL,India Motor Parts and Accessories Limited,EQ,7-Oct-05,INE547E01014,,#N/A,LT Foods,Food Processing,58.1,0.85,1.48,"1,858",Food  and Bevrage
IMPEXFERRO,Impex Ferro Tech Limited,EQ,3-Feb-05,INE691G01015,,#N/A,Dwarikesh Sugar,Sugar,31.95,0.45,1.43,602,Food  and Bevrage
INDBANK,Indbank Merchant Banking Services Limited,EQ,8-Oct-08,INE841B01017,,#N/A,Dangee Dums,Food Processing,126,1.75,1.41,129,Food  and Bevrage
INDHOTEL,The Indian Hotels Company Limited,EQ,3-Jul-96,INE053A01029,,#N/A,The Grob Tea,Plantations - Tea & Coffee,607,8,1.34,71,Food  and Bevrage
INDIACEM,The India Cements Limited,EQ,31-May-00,INE383A01012,,#N/A,Andhra Sugar,Sugar,316,3.9,1.25,857,Food  and Bevrage
INDIAGLYCO,India Glycols Limited,EQ,1-Jul-05,INE560A01015,,#N/A,Rossell India,Plantations - Tea & Coffee,132.75,1.6,1.22,487,Food  and Bevrage
INDIAMART,Indiamart Intermesh Limited,EQ,4-Jul-19,INE933S01016,,#N/A,Cybertech,Computers - Software Medium & Small,114.65,19.1,19.99,316,Technology 
INDIANB,Indian Bank,EQ,1-Mar-07,INE562A01011,,#N/A,Proseed India,Computers - Software Medium & Small,0.5,0.05,11.11,5,Technology 
INDIANCARD,Indian Card Clothing Company Limited,EQ,8-Jan-97,INE061A01014,,#N/A,Inspirisys Solu,Computers - Software Medium & Small,32.15,2.9,9.91,127,Technology 
INDIANHUME,Indian Hume Pipe Company Limited,EQ,30-Aug-95,INE323C01030,,#N/A,Hinduja Global,Computers - Software,1204.15,80.65,7.18,"2,514",Technology 
INDIGO,InterGlobe Aviation Limited,EQ,10-Nov-15,INE646L01027,,#N/A,FCS Software,Computers - Software Medium & Small,0.75,0.05,7.14,128,Technology 
INDLMETER,IMP Powers Limited,EQ,10-Jan-96,INE065B01013,,#N/A,Dynacons Sys,Computers - Software Medium & Small,47.65,2.45,5.42,44,Technology 
INDNIPPON,India Nippon Electricals Limited,EQ,7-May-97,INE092B01025,,Vakrangee Limited,Vakrangee,Computers - Software Medium & Small,50.45,2.5,5.21,"5,345",Technology 
INDOCO,Indoco Remedies Limited,EQ,14-Jan-05,INE873D01024,,#N/A,Palred Tech,Computers - Software Medium & Small,37.85,1.8,4.99,37,Technology 
INDORAMA,Indo Rama Synthetics (India) Limited,EQ,20-Jun-03,INE156A01020,,Mindteck (India) Limited,Mindteck,Computers - Software,37.15,1.75,4.94,95,Technology 
INDOSOLAR,Indosolar Limited,BZ,29-Sep-10,INE866K01015,,#N/A,Melstar Info,Computers - Software Medium & Small,2.15,0.1,4.88,3,Technology 
INDOSTAR,IndoStar Capital Finance Limited,EQ,21-May-18,INE896L01010,,#N/A,Ducon Infratech,Computers - Software,6.65,0.3,4.72,70,Technology 
INDOTECH,Indo Tech Transformers Limited,EQ,16-Mar-06,INE332H01014,,#N/A,Digispice Tech,Telecommunications - Equipment,13.3,0.6,4.72,303,Technology 
INDOTHAI,Indo Thai Securities Limited,EQ,2-Nov-11,INE337M01013,,#N/A,Educomp Sol,Computers - Software - Training,3.65,0.15,4.29,45,Technology 
INDOWIND,Indowind Energy Limited,EQ,14-Sep-07,INE227G01018,,#N/A,3i Infotech,Computers - Software,4.9,0.2,4.26,792,Technology 
INDRAMEDCO,Indraprastha Medical Corporation Limited,EQ,17-Apr-97,INE681B01017,,#N/A,Nucleus Softwar,Computers - Software Medium & Small,602.95,24.15,4.17,"1,751",Technology 
INDSWFTLAB,Ind-Swift Laboratories Limited,EQ,2-Jul-97,INE915B01019,,#N/A,Cyient,Computers - Software,517.2,20.5,4.13,"5,688",Technology 
INDSWFTLTD,Ind-Swift Limited,BE,18-Oct-04,INE788B01028,,IZMO Limited,IZMO,Computers - Software Medium & Small,55.6,2.15,4.02,73,Technology 
INDTERRAIN,Indian Terrain Fashions Limited,EQ,11-Mar-11,INE611L01021,,#N/A,Ramco System,Computers - Software,588.35,22.5,3.98,"1,804",Technology 
INDUSINDBK,IndusInd Bank Limited,EQ,28-Jan-98,INE095A01012,,#N/A,Intellect Desig,Computers - Software,297.65,11.2,3.91,"3,948",Technology 
INEOSSTYRO,INEOS Styrolution India Limited,EQ,29-Mar-95,INE189B01011,,#N/A,Smartlink Net,Computers - Hardware,97.5,3.5,3.72,130,Technology 
INFIBEAM,Infibeam Avenues Limited,BE,4-Apr-16,INE483S01020,,#N/A,Kernex Micro,Computers - Software Medium & Small,25.15,0.9,3.71,31,Technology 
INFOBEAN,InfoBeans Technologies Limited,EQ,15-Jul-19,INE344S01016,,#N/A,E2E Networks,IT Services & Consulting,39.9,1.35,3.5,57,Technology 
INFOMEDIA,Infomedia Press Limited,BE,12-Oct-06,INE669A01022,,Rolta India Limited,Rolta,Computers - Software,5.95,0.2,3.48,99,Technology 
INFRATEL,Bharti Infratel Limited,EQ,28-Dec-12,INE121J01017,,#N/A,Sasken Tech,Computers - Software,769.5,25.15,3.38,"1,158",Technology 
INFY,Infosys Limited,EQ,8-Feb-95,INE009A01021,,#N/A,Quick Heal Tech,Computers - Software,161.95,4.85,3.09,"1,040",Technology 
INGERRAND,Ingersoll Rand (India) Limited,EQ,15-Apr-99,INE177A01018,,#N/A,ALLSEC Tech,Computers - Software Medium & Small,259.95,7.75,3.07,396,Technology 
INOXLEISUR,INOX Leisure Limited,EQ,23-Feb-06,INE312H01016,,#N/A,R Systems Intl,Computers - Software Medium & Small,120.1,3.5,3,"1,437",Technology 
INOXWIND,Inox Wind Limited,EQ,9-Apr-15,INE066P01011,,#N/A,Compuage Info,Computers - Hardware,17.4,0.5,2.96,113,Technology 
INSECTICID,Insecticides (India) Limited,EQ,30-May-07,INE070I01018,,#N/A,Usha Martin Edu,Computers - Software Medium & Small,1.75,0.05,2.94,5,Technology 
INSPIRISYS,Inspirisys Solutions Limited,EQ,30-Oct-06,INE020G01017,,#N/A,Cerebra Int,Computers - Hardware,35.35,0.95,2.76,428,Technology 
INTEGRA,Integra Garments and Textiles Limited,EQ,20-Aug-13,INE418N01027,,#N/A,Excel Realty,Computers - Software Medium & Small,1.9,0.05,2.7,18,Technology 
INTELLECT,Intellect Design Arena Limited,EQ,18-Dec-14,INE306R01017,,Redington (India) Limited,Redington,Computers - Hardware,133,3.4,2.62,"5,175",Technology 
INTENTECH,Intense Technologies Limited,EQ,23-Mar-17,INE781A01025,,#N/A,GI Engineering,Computers - Software Medium & Small,2,0.05,2.56,2,Technology 
INVENTURE,Inventure Growth & Securities Limited,EQ,4-Aug-11,INE878H01016,,#N/A,eClerx Services,Computers - Software Medium & Small,828.5,19.6,2.42,"2,891",Technology 
IOB,Indian Overseas Bank,EQ,7-Dec-00,INE565A01014,,#N/A,California Soft,Computers - Software Medium & Small,11.3,0.25,2.26,17,Technology 
IOC,Indian Oil Corporation Limited,EQ,24-Jul-96,INE242A01010,,#N/A,Datamatics Glob,Computers - Software Medium & Small,95.6,2,2.14,564,Technology 
IOLCP,IOL Chemicals and Pharmaceuticals Limited,EQ,8-Nov-10,INE485C01011,,#N/A,Compucom Soft,Computers - Software Medium & Small,10.1,0.15,1.51,80,Technology 
IPCALAB,IPCA Laboratories Limited,EQ,8-Feb-95,INE571A01020,,#N/A,Intense Tech,Computers - Software Medium & Small,37.1,0.55,1.5,83,Technology 
IRB,IRB Infrastructure Developers Limited,EQ,25-Feb-08,INE821I01014,,#N/A,Firstsource Sol,Computers - Software Medium & Small,76.05,1.05,1.4,"5,290",Technology 
IRCON,Ircon International Limited,EQ,28-Sep-18,INE962Y01021,,#N/A,HCL Info,Computers - Hardware,9.1,0.1,1.11,300,Technology 
IRCTC,Indian Railway Catering And Tourism Corporation Limited,EQ,14-Oct-19,INE335Y01012,,#N/A,Onward Tech,Computers - Software Medium & Small,69.45,0.75,1.09,113,Technology 
ISEC,ICICI Securities Limited,EQ,4-Apr-18,INE763G01038,,#N/A,Accelya Kale,Computers - Software Medium & Small,981,9.7,1,"1,464",Technology 
ISFT,Intrasoft Technologies Limited,EQ,12-Apr-10,INE566K01011,,#N/A,Keerti Knowledg,Computers - Software,28.5,0.25,0.88,29,Technology 
ISMTLTD,ISMT Limited,EQ,28-Aug-07,INE732F01019,,#N/A,Tata Elxsi,Computers - Software,1620.05,14.2,0.88,"10,089",Technology 
ITC,ITC Limited,EQ,23-Aug-95,INE154A01025,,#N/A,Allied Digital,Computers - Software Medium & Small,29.1,0.25,0.87,146,Technology 
ITDC,India Tourism Development Corporation Limited,EQ,30-Dec-16,INE353K01014,,NXTDIGITAL LIMITED,Nxtdigital,Media & Entertainment,585.1,4.75,0.82,"1,407",Technology 
ITDCEM,ITD Cementation India Limited,EQ,10-Feb-99,INE686A01026,,MphasiS Limited,MphasiS,Computers - Software,1325.55,9.5,0.72,"24,748",Technology 
ITI,ITI Limited,EQ,15-Sep-03,INE248A01017,,#N/A,Trigyn Tech,Computers - Software Medium & Small,66,0.45,0.69,203,Technology 
IVC,IL&FS Investment Managers Limited,BE,15-Sep-99,INE050B01023,,#N/A,AGC Networks,Computers - Software,615,3.85,0.63,"1,834",Technology 
IVP,IVP Limited,BE,13-Sep-95,INE043C01018,,#N/A,COFORGE LTD.,Computers - Software,2511.95,13.95,0.56,"15,219",Technology 
IZMO,IZMO Limited,EQ,5-Feb-07,INE848A01014,,#N/A,Tera Software,Computers - Software Medium & Small,31.75,0.15,0.47,40,Technology 
J&KBANK,The Jammu & Kashmir Bank Limited,EQ,22-Jul-98,INE168A01041,,#N/A,Newgen Software,Computers - Software,267.45,1.25,0.47,"1,871",Technology 
JAGRAN,Jagran Prakashan Limited,EQ,22-Feb-06,INE199G01027,,#N/A,MT Educare,Computers - Software - Training,11.3,0.05,0.44,82,Technology 
JAGSNPHARM,Jagsonpal Pharmaceuticals Limited,EQ,1-Mar-00,INE048B01027,,#N/A,AXISCADES Techn,Computers - Software Medium & Small,54,0.2,0.37,204,Technology 
JAIBALAJI,Jai Balaji Industries Limited,EQ,9-Dec-03,INE091G01018,,#N/A,Genesys Int,Computers - Software Medium & Small,56,0.2,0.36,175,Technology 
JAICORPLTD,Jai Corp Limited,EQ,26-Nov-97,INE070D01027,,Tata Consultancy Services Limited,TCS,Computers - Software,2792.5,8.9,0.32,"1,047,853",Technology 
JAIHINDPRO,Jaihind Projects Limited,BZ,29-Feb-12,INE343D01010,,#N/A,Expleo Solution,Computers - Software,467.65,1.3,0.28,479,Technology 
JAINSTUDIO,Jain Studios Limited,BZ,19-Nov-97,INE486B01011,,#N/A,Intrasoft Tech,Retail,66.8,0.1,0.15,98,Technology 
JAMNAAUTO,Jamna Auto Industries Limited,EQ,10-Dec-10,INE039C01032,,#N/A,Oracle Fin Serv,Computers - Software,3134.5,2.6,0.08,"26,957",Technology 
JASH,Jash Engineering Limited,EQ,30-Oct-19,INE039O01011,,#N/A,HCL Tech,Computers - Software,862.9,0.65,0.08,"234,162",Technology 
JAYAGROGN,Jayant Agro Organics Limited,EQ,17-Apr-96,INE785A01026,,#N/A,Xchanging Sol,Computers - Software Medium & Small,81,0.05,0.06,902,Technology 
JAYBARMARU,Jay Bharat Maruti Limited,EQ,3-Jan-96,INE571B01028,,#N/A,Northgate Com,Computers - Software Medium & Small,1.5,0,0,7,Technology 
JAYNECOIND,Jayaswal Neco Industries Limited,EQ,10-May-95,INE854B01010,,#N/A,RS Software,Computers - Software Medium & Small,23.7,0,0,61,Technology 
JAYSREETEA,Jayshree Tea & Industries Limited,EQ,15-Feb-95,INE364A01020,,#N/A,Zee Learn,Computers - Software - Training,14.1,0,0,460,Technology 
JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited,EQ,29-Apr-03,INE572A01028,,#N/A,L&T Infotech,Computers - Software,3264,-4.65,-0.14,"57,004",Technology 
JBFIND,JBF Industries Limited,EQ,25-Feb-04,INE187A01017,,#N/A,InfoBeans Tech,Computers - Software Medium & Small,132.5,-0.2,-0.15,318,Technology 
JBMA,JBM Auto Limited,EQ,17-Dec-04,INE927D01028,,Majesco Limited,Majesco,Computers - Software Medium & Small,987.95,-1.9,-0.19,"2,979",Technology 
JCHAC,Johnson Controls - Hitachi Air Conditioning India Limited,EQ,3-Jan-00,INE782A01015,,#N/A,Sonata,Computers - Software Medium & Small,354.15,-0.8,-0.23,"3,724",Technology 
JETAIRWAYS,Jet Airways (India) Limited,BZ,14-Mar-05,INE802G01018,,#N/A,Career Point,Computers - Software - Training,167,-0.4,-0.24,304,Technology 
JHS,JHS Svendgaard Laboratories Limited,EQ,21-Oct-06,INE544H01014,,Saksoft Limited,Saksoft,Computers - Software,324.95,-0.8,-0.25,341,Technology 
JIKIND,JIK Industries Limited,BE,26-Nov-08,INE026B01049,,#N/A,NIIT,Computers - Software - Training,181.35,-0.5,-0.27,"2,572",Technology 
